start the A market get data program at 21:24:49
http://quotes.money.163.com/hs/service/diyrank.php?host=http%3A%2F%2Fquotes.money.163.com%2Fhs%2Fservice%2Fdiyrank.php&page=0&query=STYPE%3AEQA&fields=NO%2CNAME%2CSYMBOL%2CVOLUME&sort=SYMBOL&order=asc&count=5000&type=query      SYMBOL    NAME  DATE     VOLUME
177   000599    青岛双星  None    2411887
178   000600    建投能源  None   10250224
179   000601    韶能股份  None   11789630
180   000603    盛达资源  None    7479293
181   000605    渤海股份  None     878548
182   000606     顺利办  None    6965000
183   000607    华媒控股  None    7945937
184   000608    阳光股份  None    1634600
185   000609    中迪投资  None   63006060
186   000610    西安旅游  None    3598600
187   000611   _st天首  None     412800
188   000612    焦作万方  None    3894002
189   000613    大东海a  None   12900502
190   000615    京汉股份  None    1355700
191   000616    海航投资  None    5603362
192   000617    中油资本  None     974039
193   000619    海螺型材  None     989500
194   000620     新华联  None   23690433
195   000622    恒立实业  None    6486400
196   000623    吉林敖东  None    4493576
197   000625    长安汽车  None   38370450
198   000626    远大控股  None     728404
199   000627    天茂集团  None    7682546
200   000628    高新发展  None    1374500
201   000629    攀钢钒钛  None   24258787
202   000630    铜陵有色  None   24928394
203   000631    顺发恒业  None    1523304
204   000632    三木集团  None    4431911
205   000633    合金投资  None    3251810
206   000635   英 力 特  None    1128200
207   000636    风华高科  None   49464619
208   000637    茂化实华  None    1967801
209   000638    万方发展  None    2357838
210   000639    西王食品  None    9411093
211   000650    仁和药业  None   10751898
212   000651    格力电器  None   34987041
213   000652    泰达股份  None    2972500
214   000655    金岭矿业  None    5842915
215   000656    金科股份  None   11276637
216   000657    中钨高新  None    1879417
217   000659    珠海中富  None    4612717
218   000661    长春高新  None    2054909
219   000662    天夏智慧  None   84512535
220   000663    永安林业  None    4762600
221   000665    湖北广电  None    3812739
222   000666    经纬纺机  None    2773687
223   000667    美好置业  None    9813159
224   000668    荣丰控股  None    1466600
225   000669    金鸿控股  None    7631350
226   000670   _st盈方  None    8522500
227   000671   阳 光 城  None   34051493
228   000672    上峰水泥  None   20181182
229   000673    当代东方  None   54683931
230   000676    智度股份  None   39810340
231   000677    恒天海龙  None   24183737
232   000678    襄阳轴承  None    1207800
233   000679    大连友谊  None    1750200
234   000680    山推股份  None   10067450
235   000681    视觉中国  None    6117900
236   000682    东方电子  None    4018338
237   000683    远兴能源  None   16817544
238   000685    中山公用  None    1541608
239   000686    东北证券  None   10624390
240   000687    华讯方舟  None    4419701
241   000688    国城矿业  None    8104677
242   000690    宝新能源  None    3630658
243   000691    亚太实业  None    1945100
244   000692    惠天热电  None    1278232
245   000695    滨海能源  None     574700
246   000697    炼石航空  None    2777200
247   000698    沈阳化工  None    2719143
248   000700    模塑科技  None    6905446
249   000701    厦门信达  None    1414956
250   000702    正虹科技  None    2240507
251   000703    恒逸石化  None    9301060
252   000705    浙江震元  None     978400
253   000707    st双环  None    3663800
254   000708    中信特钢  None    6667134
255   000709    河钢股份  None   30526620
256   000710    贝瑞基因  None    3876302
257   000711    京蓝科技  None   12967800
258   000712    锦龙股份  None    7620901
259   000713    丰乐种业  None   29021514
260   000715    中兴商业  None    1247856
261   000716     黑芝麻  None    5910624
262   000717    韶钢松山  None  166500321
263   000718    苏宁环球  None    3011112
264   000719    中原传媒  None    1196941
265   000720    新能泰山  None   34699086
266   000721    西安饮食  None    1956128
267   000722    湖南发展  None    1181800
268   000723    美锦能源  None   41292764
269   000725    京东方ａ  None  660109279
270   000726   鲁  泰ａ  None    2094966
271   000727    华东科技  None   39982700
272   000728    国元证券  None    6880565
273   000729    燕京啤酒  None   16663873
274   000731    四川美丰  None    1453578
275   000732    泰禾集团  None   23197008
276   000733    振华科技  None    4449597
277   000735   罗 牛 山  None   30409313
278   000736    中交地产  None     709762
279   000737    st南风  None    1696612
280   000738    航发控制  None    4696875
281   000739    普洛药业  None   10697454
282   000750    国海证券  None   33601916
283   000751    锌业股份  None    4397010
284   000752   _st西发  None    1258015
285   000753    漳州发展  None    1860017
286   000755    山西路桥  None    3038600
287   000756    新华制药  None    1271270
288   000757    浩物股份  None    3517230
289   000758    中色股份  None    6965888
290   000759    中百集团  None     979900
291   000760   _st斯太  None    4806100
292   000761    本钢板材  None    3433826
293   000762    西藏矿业  None    2511902
294   000766    通化金马  None    3619988
295   000767    漳泽电力  None    1984799
296   000768    中航飞机  None    9656398
297   000776    广发证券  None    9533052
298   000777    中核科技  None    1557021
299   000778    新兴铸管  None   28872051
300   000779     甘咨询  None     543100
301   000780    平庄能源  None    7561300
302   000782    美达股份  None    1933600
303   000783    长江证券  None   14596287
304   000785    武汉中商  None    4242900
305   000786    北新建材  None    9243917
306   000788    北大医药  None    7431563
307   000789     万年青  None   23943389
308   000790    泰合健康  None    3762355
309   000791    甘肃电投  None    2870800
310   000792   _st盐湖  None    8588146
311   000793    华闻集团  None    9538724
312   000795     英洛华  None   15474330
313   000796    凯撒旅游  None    6790662
314   000797    中国武夷  None    2459118
315   000798    中水渔业  None     953400
316   000799     酒鬼酒  None   20484123
317   000800    一汽轿车  None   10721938
318   000801    四川九洲  None    2023200
319   000802    北京文化  None    5582114
320   000803    金宇车城  None     648522
321   000806    st银河  None    4764708
322   000807    云铝股份  None   26713468
323   000809    铁岭新城  None    4390600
324   000810    创维数字  None   13442589
325   000811    冰轮环境  None    3794707
326   000812    陕西金叶  None    4455882
327   000813    德展健康  None   13353200
328   000815     美利云  None    3524541
329   000816    st慧业  None    9885826
330   000818    航锦科技  None   12411873
331   000819    岳阳兴长  None     763039
332   000820   _st节能  None   19217770
333   000821    京山轻机  None    1421700
334   000822    山东海化  None    3080700
335   000823    超声电子  None   13979175
336   000825    太钢不锈  None   23961040
337   000826    启迪环境  None    4202270
338   000828    东莞控股  None    1573919
339   000829    天音控股  None    9092370
340   000830    鲁西化工  None   13007559
341   000831    五矿稀土  None   20812096
342   000833    粤桂股份  None    1467160
343   000835    长城动漫  None   57938531
344   000836    富通鑫茂  None   14623961
345   000837    秦川机床  None    2080492
346   000838    财信发展  None    1950400
347   000839    中信国安  None   12817018
348   000848    承德露露  None    3964050
349   000850    华茂股份  None    2161501
350   000851    高鸿股份  None   22433121
351   000852    石化机械  None   15493193
352   000856    冀东装备  None    2053996
353   000858   五 粮 液  None   15469072
354   000859    国风塑业  None  140308026
355   000860    顺鑫农业  None    5316213
356   000861    海印股份  None    6993670
357   000862    银星能源  None    4915404
358   000863    三湘印象  None     705400
359   000868   _st安凯  None   18541702
360   000869   张  裕ａ  None     637390
361   000875    吉电股份  None    6786383
362   000876   新 希 望  None   26417301
363   000877    天山股份  None   16781802
364   000878    云南铜业  None   24424810
365   000880    潍柴重机  None     528200
366   000881    中广核技  None    1167802
367   000882    华联股份  None    7315500
368   000883    湖北能源  None    6137944
369   000885    城发环境  None    3465402
370   000886    海南高速  None    5247496
371   000887    中鼎股份  None    3963322
372   000888    峨眉山ａ  None    4349288
373   000889    中嘉博创  None    2698801
374   000890   法 尔 胜  None    3823879
375   000892    欢瑞世纪  None    4120626
376   000893    东凌国际  None    2858300
377   000895    双汇发展  None   13435968
378   000897   _st津滨  None    5258220
379   000898    鞍钢股份  None   21728555
380   000899    赣能股份  None     964400
381   000900    现代投资  None    3334363
382   000901    航天科技  None    2410499
383   000902     新洋丰  None    6503864
384   000903    云内动力  None    5145100
385   000905    厦门港务  None    1418052
386   000906    浙商中拓  None    1636638
387   000908    景峰医药  None    7616670
388   000909    数源科技  None    2457500
389   000910    大亚圣象  None   17658522
390   000911  _st 南糖  None    3203496
391   000912     泸天化  None    5463882
392   000913    钱江摩托  None    2633000
393   000915    山大华特  None    8566545
394   000917    电广传媒  None    5500177
395   000918     嘉凯城  None    8594782
396   000919    金陵药业  None    1186658
397   000920    南方汇通  None     693800
398   000921    海信家电  None    3537300
399   000922    佳电股份  None    2636892
400   000923    河北宣工  None    1856690
401   000925    众合科技  None    1750200
402   000926    福星股份  None    3804650
403   000927    一汽夏利  None    5952566
404   000928    中钢国际  None    4497612
405   000929    兰州黄河  None     523020
406   000930    中粮科技  None    4012633
407   000931   中 关 村  None    1672971
408   000932    华菱钢铁  None   88563177
409   000933    神火股份  None   60879469
410   000935    四川双马  None   19803715
411   000936    华西股份  None    4780403
412   000937    冀中能源  None    7078784
413   000938    紫光股份  None   13098152
414   000939   _st凯迪  None          0
415   000948    南天信息  None    1407370
